pseudocode,total_students,total_boys,total_girls,students_primary,students_upper_primary,students_secondary,school_level,total_tch,regular,contract,part_time,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,post_graduate_and_above,graduate,classrooms_total,classrooms_pucca,classrooms_good,toilets_boys_func,toilets_girls_func,has_girls_toilet,has_boys_toilet,has_ramp,has_library,has_playground,has_electricity,has_internet,has_handwash,has_boundary_wall,has_comp_lab,has_solar,has_hm_room,ptr,ptr_threshold,ptr_violation_severity,students_per_classroom,infrastructure_gap,eligible_grant_norm,funding_ratio,growth_rate,qualified_teacher_ratio,contract_ratio,validation_label,risk_score,risk_level
1016414,705,326,379,705,0,0,primary,17,16,1,0,8,16,0,0,0,0,12,5,20,2,20,3,9,1,1,1,1,1,1,1,1,0,0,0,1,41.47,30,0.3823,35.25,1,75000,1,0,1,0.0588,Flag,13.77,Low
1016653,230,134,96,230,0,0,primary,5,5,0,0,0,5,0,0,0,0,0,5,15,1,15,5,6,1,1,1,1,1,1,1,1,1,0,1,1,46,30,0.5333,15.33,0,50000,1,0,1,0,Reject,13.33,Low
1019414,1776,1001,775,817,474,336,primary,60,39,21,0,60,26,6,0,6,11,42,18,52,4,52,26,28,1,1,1,1,1,1,1,1,1,1,0,1,29.6,30,-0.0133,34.15,0,100000,1,0,1,0.35,Accept,5.25,Low
1022394,412,301,111,412,0,0,primary,14,11,3,0,12,11,0,0,0,0,7,7,7,2,7,8,4,1,1,1,1,1,1,1,1,1,0,0,1,29.43,30,-0.019,58.86,0,75000,1,0,1,0.2143,Flag,10.29,Low
1023986,361,210,151,361,0,0,primary,9,9,0,0,7,7,0,0,0,0,0,9,14,1,14,3,3,1,1,1,1,1,1,1,1,1,0,0,1,40.11,30,0.337,25.79,0,75000,1,0,1,0,Flag,8.43,Low
1024713,2608,0,2608,0,1211,790,upper_primary,78,65,0,13,49,0,28,0,23,18,50,28,34,0,19,0,20,1,0,1,1,1,1,1,1,1,0,1,1,33.44,35,-0.0446,76.71,1,100000,1,0,1,0,Flag,17.1,Low
1025908,101,46,55,101,0,0,primary,4,4,0,0,2,4,0,0,0,0,0,3,5,1,5,2,2,1,1,1,1,1,1,1,1,1,0,0,1,25.25,30,-0.1583,20.2,0,50000,1,0,0.75,0,Accept,0,Low
1027303,300,186,114,300,0,0,primary,10,4,6,0,10,9,0,0,0,0,6,4,9,1,9,4,4,1,1,1,1,1,1,1,1,1,0,1,1,30,30,0,33.33,0,75000,1,0,1,0.6,Accept,9,Low
1027882,3703,759,2944,786,1236,969,upper_primary,68,58,2,8,21,10,18,0,18,16,42,25,49,3,49,8,25,1,1,1,1,1,1,1,1,1,1,1,1,54.46,35,0.556,75.57,0,100000,1,0,0.9853,0.0294,Reject,27.68,Low
1028953,142,90,52,142,0,0,primary,10,10,0,0,8,8,0,0,0,0,5,5,13,2,13,6,9,1,1,1,1,1,1,1,1,1,0,0,1,14.2,30,-0.5267,10.92,0,50000,1,0,1,0,Accept,0,Low
1029336,2210,1431,779,795,633,412,primary,69,62,7,0,69,28,19,1,9,9,38,28,46,1,46,18,20,1,1,1,1,1,1,1,1,1,1,1,1,32.03,30,0.0677,48.04,0,100000,1,0,0.9565,0.1014,Flag,6.23,Low
1030252,1601,1052,549,655,462,287,primary,44,18,26,0,28,11,12,0,4,10,31,13,33,1,33,7,6,1,1,1,1,1,1,1,1,1,0,0,1,36.39,30,0.213,48.52,0,100000,1,0,1,0.5909,Flag,17.38,Low
1030954,181,99,82,181,0,0,primary,4,1,3,0,1,4,0,0,0,0,2,2,8,2,8,3,2,1,1,1,1,1,1,1,1,1,0,0,1,45.25,30,0.5083,22.62,0,50000,1,0,1,0.75,Reject,23.96,Low
1032829,534,327,207,371,163,0,primary,13,6,7,0,10,7,3,3,0,0,3,10,11,1,11,2,2,1,1,1,1,1,1,1,1,1,0,1,1,41.08,30,0.3693,48.55,0,75000,1,0,1,0.5385,Flag,20.52,Low
1033242,300,224,76,300,0,0,primary,7,7,0,0,3,7,0,0,0,0,2,5,9,1,9,2,1,1,1,1,1,1,1,1,1,1,0,1,1,42.86,30,0.4287,33.33,0,75000,1,0,1,0,Flag,10.72,Low
1034279,1379,0,1379,0,832,318,upper_primary,47,39,0,8,28,0,11,0,11,8,33,14,36,0,36,0,20,1,0,1,1,1,1,1,1,1,1,0,1,29.34,35,-0.1617,38.31,1,100000,1,0,1,0,Accept,3.33,Low
1036889,193,107,86,193,0,0,primary,9,8,1,0,3,7,0,0,0,0,1,8,6,1,6,1,1,1,1,1,1,1,1,1,1,1,0,1,0,21.44,30,-0.2853,32.17,0,50000,1,0,1,0.1111,Accept,1.67,Low
1039746,296,0,296,296,0,0,primary,9,9,0,0,2,7,0,0,0,0,5,4,12,1,0,0,5,1,0,1,1,1,1,1,1,0,0,0,1,32.89,30,0.0963,24.67,2,75000,1,0,1,0,Flag,9.07,Low
1039894,221,158,63,104,117,0,upper_primary,6,6,0,0,0,2,4,0,0,0,3,3,6,1,6,2,2,1,1,1,1,0,1,1,1,1,0,0,1,36.83,35,0.0523,36.83,0,50000,1,0,1,0,Flag,1.31,Low
1040500,744,0,744,744,0,0,primary,21,19,2,0,2,20,0,0,0,0,7,13,30,2,30,0,13,1,0,1,1,1,1,1,1,1,0,1,1,35.43,30,0.181,24.8,1,75000,1,0,0.9524,0.0952,Flag,9.29,Low
1041109,609,386,223,426,133,50,primary,21,21,0,0,15,8,3,5,2,0,5,15,17,1,17,2,3,1,1,1,1,1,1,1,1,1,0,0,1,29,30,-0.0333,35.82,0,75000,1,0,0.9524,0,Accept,0,Low
1042377,1253,687,566,552,344,159,primary,46,29,17,0,45,16,6,0,5,14,27,19,39,3,39,23,23,1,1,1,1,1,1,1,1,1,1,1,1,27.24,30,-0.092,32.13,0,100000,1,0,1,0.3696,Accept,5.54,Low
1043005,1405,1405,0,194,704,298,upper_primary,50,36,1,13,16,6,15,0,16,11,32,18,25,2,25,11,0,0,1,1,1,1,1,1,1,1,1,0,1,28.1,35,-0.1971,56.2,1,100000,1,0,1,0.02,Flag,9.71,Low
1043816,526,306,220,298,228,0,primary,9,9,0,0,5,3,6,0,0,0,1,8,8,2,8,3,3,1,1,1,1,1,1,1,1,1,0,0,1,58.44,30,0.948,65.75,0,75000,1,0,1,0,Reject,33.36,Medium
1044481,1415,700,715,0,917,498,upper_primary,47,36,0,11,47,0,2,0,2,0,35,12,22,0,7,10,7,1,1,1,1,1,1,1,1,1,0,0,1,30.11,35,-0.1397,64.32,0,100000,1,0,1,0,Flag,9.12,Low
1045089,131,87,44,87,44,0,primary,9,5,4,0,2,7,1,0,0,0,1,8,11,2,11,3,2,1,1,1,1,1,1,1,1,1,0,1,1,14.56,30,-0.5147,11.91,0,50000,1,0,1,0.4444,Accept,6.67,Low
1045693,179,109,70,179,0,0,primary,5,4,1,0,5,5,0,0,0,0,2,2,7,4,7,3,3,1,1,1,1,1,1,1,1,1,0,0,1,35.8,30,0.1933,25.57,0,50000,1,0,0.8,0.2,Flag,7.83,Low
1047790,83,44,39,83,0,0,primary,6,4,2,0,0,5,0,0,0,0,0,4,6,1,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,13.83,30,-0.539,13.83,0,25000,1,0,0.6667,0.3333,Accept,5,Low
1048163,96,59,37,96,0,0,primary,5,5,0,0,3,5,0,0,0,0,2,3,7,1,7,2,3,1,1,1,1,1,1,1,1,1,0,0,1,19.2,30,-0.36,13.71,0,25000,1,0,1,0,Accept,0,Low
1050465,232,119,113,232,0,0,primary,10,10,0,0,3,10,0,0,0,0,4,6,8,1,8,6,6,1,1,1,1,1,1,1,1,1,0,1,1,23.2,30,-0.2267,29,0,50000,1,0,1,0,Accept,0,Low
1051140,1285,0,1285,0,926,359,upper_primary,32,18,0,14,22,0,7,0,16,0,22,10,18,0,18,0,50,1,0,1,1,0,1,1,1,1,0,0,1,40.16,35,0.1474,71.39,1,100000,1,0,1,0,Flag,18.79,Low
1051652,316,187,129,185,80,51,primary,16,7,9,0,15,9,2,0,4,0,10,6,12,1,12,6,6,1,1,1,1,1,1,1,1,1,0,1,1,19.75,30,-0.3417,26.33,0,75000,1,0,1,0.5625,Accept,8.44,Low
1052361,401,234,167,401,0,0,primary,9,9,0,0,4,9,0,0,0,0,0,4,9,1,9,3,3,1,1,1,1,1,1,1,1,1,0,0,1,44.56,30,0.4853,44.56,0,75000,1,0,0.4444,0,Flag,13.84,Low
1052508,106,63,43,106,0,0,primary,5,5,0,0,1,5,0,0,0,0,0,5,12,1,12,2,2,1,1,1,1,1,1,1,1,1,0,0,1,21.2,30,-0.2933,8.83,0,50000,1,0,1,0,Accept,0,Low
1053259,65,34,31,65,0,0,primary,6,5,1,0,3,5,0,0,0,0,4,2,7,1,7,2,2,1,1,1,1,1,1,1,1,1,0,0,1,10.83,30,-0.639,9.29,0,25000,1,0,1,0.1667,Accept,2.5,Low
1053962,710,458,252,246,146,147,primary,29,15,5,9,20,2,9,2,3,4,19,9,49,2,49,25,15,1,1,1,1,1,1,1,1,1,1,1,1,24.48,30,-0.184,14.49,0,75000,1,0,0.9655,0.1724,Accept,2.59,Low
1054915,973,973,0,369,404,200,upper_primary,10,10,0,0,4,3,4,0,3,0,5,5,15,3,15,8,0,0,1,1,1,0,1,1,1,1,0,0,1,97.3,35,1.78,64.87,1,75000,1,0,1,0,Reject,37.66,Medium
1055917,1726,1049,677,658,459,333,primary,59,41,18,0,57,16,11,0,10,12,39,20,40,2,40,20,21,1,1,1,1,1,1,1,1,1,1,1,1,29.25,30,-0.025,43.15,0,100000,1,0,1,0.3051,Accept,5.76,Low
1056143,104,62,42,82,22,0,primary,6,1,4,1,5,4,1,1,0,0,2,4,13,1,10,5,5,1,1,1,1,1,1,1,1,0,0,0,1,17.33,30,-0.4223,8,1,50000,1,0,1,0.6667,Flag,13.33,Low
1061280,1053,0,1053,0,421,369,upper_primary,39,29,0,10,12,0,11,0,14,14,35,4,21,4,21,0,20,1,0,1,1,1,1,1,1,1,0,0,1,27,35,-0.2286,50.14,1,100000,1,0,1,0,Flag,7.14,Low
1063153,285,164,121,173,59,53,primary,12,12,0,0,12,1,2,1,6,0,9,3,21,1,21,24,24,1,1,1,1,1,1,1,1,1,0,1,1,23.75,30,-0.2083,13.57,0,75000,1,0,1,0,Accept,0,Low
1068967,179,99,80,179,0,0,primary,4,2,2,0,0,4,0,0,0,0,1,3,8,2,8,1,1,1,1,1,1,1,1,1,1,1,0,0,1,44.75,30,0.4917,22.38,0,50000,1,0,1,0.5,Flag,19.79,Low
1069326,102,61,41,102,0,0,primary,2,2,0,0,0,2,0,0,0,0,0,0,5,2,1,2,2,1,1,1,1,0,1,1,1,1,0,0,1,51,30,0.7,20.4,0,50000,1,0,0,0,Reject,17.5,Low
1073155,41,19,22,41,0,0,primary,5,5,0,0,4,5,0,0,0,0,0,0,5,1,5,6,6,1,1,1,1,1,1,1,1,1,0,0,1,8.2,30,-0.7267,8.2,0,25000,1,0,0,0,Accept,0,Low
1075603,282,165,117,282,0,0,primary,10,10,0,0,10,6,0,0,0,0,0,0,12,1,12,5,5,1,1,1,1,1,1,1,1,1,0,0,1,28.2,30,-0.06,23.5,0,75000,1,0,0,0,Accept,0,Low
1076313,3137,1742,1395,1098,1078,627,primary,134,40,94,0,134,41,53,1,4,19,77,56,77,2,77,29,48,1,1,1,1,1,1,1,1,1,1,1,1,23.41,30,-0.2197,40.74,0,100000,1,0,0.9925,0.7015,Flag,10.8,Low
1082201,753,494,259,380,245,128,primary,34,24,10,0,34,13,6,0,7,0,26,8,24,1,24,8,7,1,1,1,1,0,1,1,1,1,0,1,1,22.15,30,-0.2617,31.38,0,75000,1,0,1,0.2941,Accept,4.41,Low
1083200,2999,1878,1121,1198,748,577,primary,115,98,16,1,83,40,12,4,19,18,84,30,70,4,70,25,45,1,1,1,1,1,1,1,1,1,1,1,1,26.08,30,-0.1307,42.84,0,100000,1,0,0.9913,0.1391,Accept,3.15,Low
1083657,344,187,157,0,0,136,secondary,25,21,2,2,7,0,0,0,9,15,22,3,20,2,20,5,11,1,1,1,1,1,1,1,1,1,1,0,1,13.76,35,-0.6069,17.2,0,75000,1,0,1,0.08,Accept,1.2,Low
1083978,190,109,81,145,45,0,primary,10,5,0,5,10,5,3,0,0,0,4,6,10,3,10,1,1,1,1,1,1,1,1,1,1,1,0,0,1,19,30,-0.3667,19,0,50000,1,0,1,0,Accept,0,Low
1086672,425,239,186,425,0,0,primary,14,12,2,0,10,14,0,0,0,0,2,5,11,1,11,3,3,1,1,1,1,1,1,1,1,1,0,1,1,30.36,30,0.012,38.64,0,75000,1,0,0.5,0.1429,Flag,2.44,Low
1087310,1865,1865,0,336,563,448,upper_primary,65,53,0,12,12,10,11,0,20,21,39,26,38,1,38,29,0,0,1,1,1,1,1,1,1,1,1,0,1,28.69,35,-0.1803,49.08,1,100000,1,0,1,0,Flag,6.74,Low
1088948,167,90,77,167,0,0,primary,5,5,0,0,2,5,0,0,0,0,0,4,5,1,0,3,3,1,1,1,1,1,1,1,1,1,0,0,1,33.4,30,0.1133,33.4,0,50000,1,0,0.8,0,Flag,2.83,Low
1089078,4753,4753,0,0,1404,2012,secondary,125,63,0,62,125,0,39,0,61,24,94,31,54,3,33,30,0,0,1,1,1,1,1,1,1,1,0,1,1,38.02,35,0.0863,88.02,1,100000,1,0,1,0,Flag,20.49,Low
1089623,1146,0,1146,0,533,325,upper_primary,46,31,1,14,25,0,14,0,13,15,35,11,30,0,16,0,12,1,0,1,1,1,1,1,1,1,0,0,1,24.91,35,-0.2883,38.2,1,100000,1,0,1,0.0217,Accept,3.66,Low
1089769,1381,233,1148,545,509,209,primary,35,21,0,14,13,7,8,0,6,7,24,11,25,1,14,3,8,1,1,1,1,1,1,1,1,1,0,0,1,39.46,30,0.3153,55.24,0,100000,1,0,1,0,Flag,13.6,Low
1091527,503,300,203,503,0,0,primary,15,13,2,0,6,15,0,0,0,0,2,6,11,1,8,4,4,1,1,1,1,1,1,1,1,1,0,1,1,33.53,30,0.1177,45.73,0,75000,1,0,0.5333,0.1333,Flag,7.09,Low
1092034,590,0,590,590,0,0,primary,16,11,5,0,2,15,0,0,0,0,2,9,18,1,18,0,8,1,0,1,1,0,1,1,1,1,0,1,1,36.88,30,0.2293,32.78,1,75000,1,0,0.6875,0.3125,Flag,13.75,Low
1093150,212,107,105,141,71,0,primary,9,9,0,0,5,4,2,2,0,0,1,6,10,2,10,1,2,1,1,1,1,1,1,1,1,1,0,0,1,23.56,30,-0.2147,21.2,0,50000,1,0,0.7778,0,Accept,0,Low
1093909,859,0,859,859,0,0,primary,16,15,1,0,16,16,0,0,0,0,6,10,25,1,25,0,51,1,0,1,1,1,1,1,1,1,0,1,1,53.69,30,0.7897,34.36,1,75000,1,0,1,0.0625,Reject,24.01,Low
1094355,659,0,659,659,0,0,primary,13,12,1,0,9,12,0,0,0,0,5,5,19,2,19,0,9,1,0,1,1,1,1,1,1,1,0,0,1,50.69,30,0.6897,34.68,1,75000,1,0,0.7692,0.0769,Reject,21.73,Low
1094982,4970,2999,1971,2246,1484,709,primary,144,67,77,0,143,61,56,0,13,14,66,73,107,4,107,35,32,1,1,1,1,1,1,1,1,1,1,0,1,34.51,30,0.1503,46.45,0,100000,1,0,0.9653,0.5347,Flag,14.2,Low
1096257,1624,1624,0,0,723,591,upper_primary,64,44,2,18,21,0,19,0,23,16,41,23,26,3,26,20,0,0,1,1,1,1,1,1,1,1,1,0,1,25.38,35,-0.2749,62.46,1,100000,1,0,1,0.0312,Flag,12.22,Low
1100321,420,420,0,420,0,0,primary,5,4,1,0,1,5,0,0,0,0,0,4,6,1,6,5,0,0,1,1,1,1,1,1,1,0,0,0,1,84,30,1.8,70,2,75000,1,0,0.8,0.2,Reject,45.92,Medium
1101153,421,201,220,421,0,0,primary,11,11,0,0,3,10,0,0,0,0,3,6,9,0,9,5,5,1,1,1,1,1,1,1,1,1,0,0,1,38.27,30,0.2757,46.78,0,75000,1,0,0.8182,0,Flag,9.44,Low
1105558,850,526,324,674,176,0,primary,15,15,0,0,5,11,4,0,0,0,3,12,21,4,21,10,6,1,1,1,1,1,1,1,1,1,0,0,1,56.67,30,0.889,40.48,0,75000,1,0,1,0,Reject,22.4,Low
1112773,242,117,125,0,0,99,secondary,30,28,0,2,8,0,0,0,18,12,24,6,12,0,12,9,4,1,1,1,1,1,1,1,1,1,1,0,1,8.07,35,-0.7694,20.17,0,50000,1,0,1,0,Accept,0,Low
1115996,965,965,0,0,506,280,upper_primary,37,26,0,11,13,0,15,0,12,9,31,6,19,0,19,18,0,0,1,1,1,1,1,1,1,1,1,0,1,26.08,35,-0.2549,50.79,1,75000,1,0,1,0,Flag,7.38,Low
1116076,353,163,190,353,0,0,primary,10,8,2,0,10,9,0,0,0,0,4,5,12,1,7,4,4,1,1,1,1,0,1,1,1,1,0,1,1,35.3,30,0.1767,29.42,0,75000,1,0,0.9,0.2,Flag,7.42,Low
1117279,332,219,113,233,99,0,primary,11,11,0,0,1,5,6,0,0,0,1,10,8,1,8,4,3,1,1,1,1,1,1,1,1,1,0,0,1,30.18,30,0.006,41.5,0,75000,1,0,1,0,Flag,0.71,Low
1121924,89,56,33,89,0,0,primary,6,6,0,0,1,6,0,0,0,0,1,5,5,1,5,3,3,1,1,1,1,1,1,1,1,1,0,0,1,14.83,30,-0.5057,17.8,0,25000,1,0,1,0,Accept,0,Low
1124696,7,7,0,7,0,0,primary,7,7,0,0,6,2,0,0,0,0,3,2,7,1,7,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,30,-0.9667,1,0,10000,1,0,0.7143,0,Accept,0,Low
1125458,2864,1595,1269,1330,690,476,primary,149,80,69,0,53,52,24,6,22,16,96,51,85,2,85,24,24,1,1,1,1,1,1,1,1,1,1,0,1,19.22,30,-0.3593,33.69,0,100000,1,0,0.9866,0.4631,Accept,6.95,Low
1129409,998,538,460,697,301,0,primary,10,10,0,0,2,6,3,1,0,0,0,4,16,2,16,5,5,1,1,1,1,1,1,1,1,1,0,0,1,99.8,30,2.3267,62.38,0,75000,1,0,0.4,0,Reject,33.39,Medium
1135332,472,295,177,472,0,0,primary,9,9,0,0,6,9,0,0,0,0,4,1,6,1,6,9,7,1,1,1,1,0,1,1,1,1,0,0,1,52.44,30,0.748,78.67,0,75000,1,0,0.5556,0,Reject,33.2,Medium
1135693,207,125,82,207,0,0,primary,8,7,1,0,8,7,0,0,0,0,3,5,14,1,0,6,6,1,1,1,1,1,1,1,1,1,0,1,1,25.88,30,-0.1373,14.79,0,50000,1,0,1,0.125,Accept,1.88,Low
1135776,18,13,5,18,0,0,primary,5,2,3,0,0,5,0,0,0,0,2,3,8,1,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,3.6,30,-0.88,2.25,0,10000,1,0,1,0.6,Accept,9,Low
1135911,386,241,145,266,120,0,primary,13,5,8,0,13,7,4,0,0,0,8,5,11,3,11,2,2,1,1,1,1,1,1,1,1,1,0,0,1,29.69,30,-0.0103,35.09,0,75000,1,0,1,0.6154,Flag,9.23,Low
1136818,888,525,363,493,273,122,primary,24,9,0,15,2,12,5,1,5,0,9,15,26,1,26,4,4,1,1,1,1,1,1,1,1,1,0,0,1,37,30,0.2333,34.15,0,75000,1,0,1,0,Flag,5.83,Low
1140279,225,130,95,162,63,0,primary,7,6,0,1,2,4,3,0,0,0,3,4,8,1,8,2,1,1,1,1,1,1,1,1,1,1,0,0,1,32.14,30,0.0713,28.12,0,50000,1,0,1,0,Flag,1.78,Low
1142482,281,151,130,281,0,0,primary,11,9,2,0,7,10,0,0,0,0,4,6,14,1,10,9,10,1,1,1,1,1,1,1,1,1,0,1,1,25.55,30,-0.1483,20.07,0,75000,1,0,0.9091,0.1818,Accept,2.73,Low
1144669,433,0,433,433,0,0,primary,4,3,1,0,4,4,0,0,0,0,1,2,9,2,7,0,10,1,0,1,1,1,1,1,1,1,0,0,1,108.25,30,2.6083,48.11,1,75000,1,0,0.75,0.25,Reject,35.12,Medium
1144744,836,484,352,590,246,0,primary,27,14,13,0,26,12,10,3,0,0,13,14,23,1,23,4,5,1,1,1,1,0,1,1,1,1,0,1,1,30.96,30,0.032,36.35,0,75000,1,0,1,0.4815,Flag,8.02,Low
1146151,871,83,788,196,363,179,upper_primary,40,32,0,8,39,6,2,0,18,9,30,9,25,2,25,8,46,1,1,1,1,1,1,1,1,1,0,1,1,21.78,35,-0.3777,34.84,0,75000,1,0,0.975,0,Accept,0,Low
1148789,997,616,381,224,271,257,upper_primary,36,23,12,1,9,6,9,0,8,10,27,9,25,1,25,14,16,1,1,1,1,1,1,1,1,1,1,0,1,27.69,35,-0.2089,39.88,0,75000,1,0,1,0.3333,Accept,5,Low
1148814,352,0,352,352,0,0,primary,12,12,0,0,12,11,0,0,0,0,7,4,12,1,12,0,4,1,0,1,1,0,1,1,1,1,0,0,1,29.33,30,-0.0223,29.33,1,75000,1,0,0.9167,0,Accept,3.33,Low
1150742,297,185,112,231,66,0,primary,10,10,0,0,9,6,3,0,0,0,6,4,14,2,14,5,5,1,1,1,1,1,1,1,1,1,0,0,1,29.7,30,-0.01,21.21,0,75000,1,0,1,0,Accept,0,Low
1151945,4649,4646,3,82,2283,1195,upper_primary,99,65,1,33,20,5,30,0,18,32,74,25,37,0,37,14,0,0,1,1,1,1,1,1,1,1,0,0,1,46.96,35,0.3417,125.65,1,100000,1,0,1,0.0101,Flag,27.03,Low
1152829,389,177,212,389,0,0,primary,12,8,4,0,6,11,0,0,0,0,4,8,9,1,8,4,4,1,1,1,1,0,1,1,1,1,0,0,1,32.42,30,0.0807,43.22,0,75000,1,0,1,0.3333,Flag,8.22,Low
1153450,859,523,336,605,254,0,primary,16,16,0,0,16,8,8,0,0,0,1,15,17,1,17,6,5,1,1,1,1,1,1,1,1,1,0,0,1,53.69,30,0.7897,50.53,0,75000,1,0,1,0,Reject,23.69,Low
1154822,382,0,382,382,0,0,primary,13,13,0,0,10,13,0,0,0,0,2,7,13,2,3,0,7,1,0,1,1,1,1,1,1,1,0,1,1,29.38,30,-0.0207,29.38,1,75000,1,0,0.6923,0,Accept,3.33,Low
1155606,272,272,0,272,0,0,primary,5,4,1,0,1,5,0,0,0,0,0,4,10,1,0,9,0,0,1,1,1,1,1,1,1,1,0,1,1,54.4,30,0.8133,27.2,1,75000,1,0,0.8,0.2,Reject,26.67,Low
1156627,583,583,0,583,0,0,primary,10,6,4,0,1,10,0,0,0,0,1,9,19,1,19,8,0,0,1,1,1,1,1,1,1,1,0,0,1,58.3,30,0.9433,30.68,1,75000,1,0,1,0.4,Reject,32.92,Medium
1158861,2198,1296,902,0,559,765,secondary,78,57,4,17,28,0,10,0,19,34,63,15,43,3,10,30,32,1,1,1,1,1,1,1,1,0,1,1,1,28.18,35,-0.1949,51.12,1,100000,1,0,1,0.0513,Flag,8.27,Low
1159454,187,102,85,187,0,0,primary,7,5,2,0,4,6,0,0,0,0,1,6,6,1,6,9,9,1,1,1,1,1,1,1,1,1,0,0,1,26.71,30,-0.1097,31.17,0,50000,1,0,1,0.2857,Accept,4.29,Low
1161472,211,140,71,211,0,0,primary,6,3,3,0,6,6,0,0,0,0,3,3,5,1,5,4,4,1,1,1,1,0,1,1,1,1,0,0,1,35.17,30,0.1723,42.2,0,50000,1,0,1,0.5,Flag,12.63,Low
1161634,366,192,174,210,156,0,primary,11,2,9,0,2,5,6,0,0,0,2,8,12,1,12,3,3,1,1,1,1,1,1,1,1,1,0,0,1,33.27,30,0.109,30.5,0,75000,1,0,0.9091,0.8182,Flag,15,Low
1163529,1880,948,932,1880,0,0,primary,27,20,7,0,27,25,0,0,0,0,7,16,28,5,23,15,13,1,1,1,1,1,1,1,1,1,0,1,1,69.63,30,1.321,67.14,0,100000,1,0,0.8519,0.2593,Reject,39.07,Medium
